timestamp,x,y,z
2025-04-07 12:58:09.605515957,-870,-18,1912
2025-04-07 12:58:09.621136427,-825,30,1890
2025-04-07 12:58:09.636757135,-834,54,1828
2025-04-07 12:58:09.652377605,-836,26,1797
2025-04-07 12:58:09.667998314,-858,36,1915
2025-04-07 12:58:09.683618784,-823,71,1854
2025-04-07 12:58:09.699239492,-738,143,1710
2025-04-07 12:58:09.714859962,-772,184,1986
2025-04-07 12:58:09.730480433,-641,209,1744
2025-04-07 12:58:09.746101141,-711,188,1961
2025-04-07 12:58:09.761721611,-724,227,1755
2025-04-07 12:58:09.777342319,-688,197,1867
2025-04-07 12:58:09.792962790,-706,293,2058
2025-04-07 12:58:09.808583498,-686,317,2013
2025-04-07 12:58:09.824203968,-675,310,2060
2025-04-07 12:58:09.839824438,-631,360,1991
2025-04-07 12:58:09.855445147,-636,322,1990
2025-04-07 12:58:09.871065617,-665,326,2072
2025-04-07 12:58:09.886686325,-601,370,1794
2025-04-07 12:58:09.902306795,-747,297,2426
2025-04-07 12:58:09.917927504,-595,415,1814
2025-04-07 12:58:09.933547974,-731,271,2320
2025-04-07 12:58:09.949168444,-637,335,1636
2025-04-07 12:58:09.964789152,-764,223,2148
2025-04-07 12:58:09.980409622,-606,307,1506
2025-04-07 12:58:09.996030331,-707,209,2246
2025-04-07 12:58:10.011650801,-608,351,1669
2025-04-07 12:58:10.027271509,-699,251,2211
2025-04-07 12:58:10.042891979,-637,332,1811
2025-04-07 12:58:10.058512449,-680,280,2085
2025-04-07 12:58:10.074133158,-649,315,1858
2025-04-07 12:58:10.089753628,-695,256,2053
2025-04-07 12:58:10.105374336,-552,356,1597
2025-04-07 12:58:10.120994806,-830,196,3098
2025-04-07 12:58:10.136615515,-436,465,1036
2025-04-07 12:58:10.152235985,-923,165,3698
2025-04-07 12:58:10.167856455,-433,536,1080
2025-04-07 12:58:10.183477163,-762,242,2035
2025-04-07 12:58:10.199097633,-624,366,2356
2025-04-07 12:58:10.214718342,-485,401,771
2025-04-07 12:58:10.230338812,-765,-54,3081
2025-04-07 12:58:10.245959520,-444,430,1224
2025-04-07 12:58:10.261579989,-640,218,1691
2025-04-07 12:58:10.277200460,-709,42,2474
2025-04-07 12:58:10.292821169,-508,226,1499
2025-04-07 12:58:10.308441639,-551,93,2025
2025-04-07 12:58:10.324062347,-538,165,1897
2025-04-07 12:58:10.339682817,-514,157,1878
2025-04-07 12:58:10.355303526,-553,109,1937
2025-04-07 12:58:10.370923996,-551,143,1906
2025-04-07 12:58:10.386544466,-522,165,1986
2025-04-07 12:58:10.402165174,-502,153,2027
2025-04-07 12:58:10.417785645,-472,143,1994
2025-04-07 12:58:10.433406353,-464,125,1932
2025-04-07 12:58:10.449026823,-492,68,1918
2025-04-07 12:58:10.464647293,-520,-10,1890
2025-04-07 12:58:10.480268002,-527,8,1869
2025-04-07 12:58:10.495888472,-500,-8,1897
